date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:01	62668/62668	---M--	200	added ('OK')	application/x-font-ttf	etag:%22f4cc-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_UltraLight.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb_UltraLight.ttf	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:02	63792/63792	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f930-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb.eot	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:02	63792/63792	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f930-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb.eot?	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWebd41d.eot	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:02	31564/31564	---M--	200	added ('OK')	text/html	etag:%227b4c-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb.html	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:02	39641/39641	---M--	200	added ('OK')	application/x-font-woff	etag:%229ad9-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb.woff	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb.woff	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:02	63512/63512	---M--	200	added ('OK')	application/x-font-ttf	etag:%22f818-594500a615a00%22	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb.ttf	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2016:03:01%20GMT	https://mojtababagheri.ir/assets/fonts/eot/IRANSansWeb(FaNum	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/eot/IRANSansWeb(FaNum	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2016:03:01%20GMT	https://mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb(FaNum	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff2/IRANSansWeb(FaNum	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2016:03:01%20GMT	https://mojtababagheri.ir/assets/fonts/woff/IRANSansWeb(FaNum	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/woff/IRANSansWeb(FaNum	(from https://mojtababagheri.ir/assets/css/fonts.css)
19:33:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2016:03:01%20GMT	https://mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb(FaNum	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/ttf/IRANSansWeb(FaNum	(from https://mojtababagheri.ir/assets/css/fonts.css)
